type_id,kind_id,id,name,search_word,carbohydrate_per_100g,carbohydrate_per_weight,weight,weight_hint,calory,protein,fat,sodium,deleted_flg
1,1,22,そうめん（ゆで）,,24.9,67.2,270,,343,9.5,1.1,0.5,FALSE
1,1,23,手延べそうめん（ゆで）,,24.5,71.1,290,,368,10.2,1.7,0.9,FALSE
1,1,24,中華めん（ゆで）,,27.9,53,190,,283,9.3,1.1,0.4,FALSE
1,1,25,蒸し中華めん,,36.5,62.1,170,,337,9,2.9,0.7,FALSE
1,1,26,即席中華めん（油揚げ）,,59,53.1,90,,412,9.1,17.2,5,FALSE
1,1,27,スパゲッティ（乾）,,71.2,71.2,100,,379,12.2,1.9,0,FALSE
1,1,28,生パスタ,,45.4,59,130,,321,10.1,2.5,1.6,FALSE
1,1,29,生ふ,,25.7,7.7,30,,49,3.8,0.2,0,FALSE
1,1,30,焼きふ,,54,2.7,5,,19,1.4,0.1,0,FALSE
1,1,31,ぎょうざの皮,,54.7,16.4,30,,87,2.8,0.4,0,FALSE
1,1,32,しゅうまいの皮,,56.8,14.2,25,,74,2.1,0.4,0,FALSE
1,1,33,ピザ生地,,48.8,48.8,100,,268,9.1,3,1.3,FALSE
1,1,34,ちくわぶ,,28.1,28.1,100,,171,7.1,1.2,1,FALSE
1,1,35,パン粉（生）,,45,4.5,10,,28,1.1,0.5,0.1,FALSE
1,1,36,パン粉（乾）,,59,5.9,10,,37,1.5,0.7,0.1,FALSE
1,1,37,もち米,,76.8,49.9,65,,233,4.2,0.8,0,FALSE
1,1,38,きりたんぽ,,45.9,32.1,70,,147,2.2,0.3,0,FALSE
